               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.040277,             0.02861,             0.02867,             0.44438,             0.49948,             0.42743,             0.22555,            0.032966,            0.014312,             0.03744,            0.004456,            0.004456,            0.004456
                  58,             0.04022,            0.027713,            0.026884,             0.46905,             0.51207,             0.43146,             0.21835,            0.034426,            0.013958,            0.028734,            0.004357,            0.004357,            0.004357
                  59,            0.040169,            0.027542,            0.027555,             0.43309,             0.52274,             0.44029,             0.23679,            0.033569,            0.013916,            0.033809,            0.004258,            0.004258,            0.004258
                  60,            0.039628,            0.028052,            0.027208,             0.46862,             0.52584,             0.44867,             0.23294,             0.03325,            0.013666,            0.030175,            0.004159,            0.004159,            0.004159
                  61,            0.040167,             0.02677,            0.027148,             0.50893,             0.50163,             0.44832,             0.23069,            0.035375,             0.01392,            0.036992,             0.00406,             0.00406,             0.00406
                  62,            0.039741,            0.027349,             0.02612,             0.50973,             0.47562,             0.45057,             0.23149,            0.033842,             0.01391,            0.031922,            0.003961,            0.003961,            0.003961
                  63,            0.039063,            0.028032,            0.025029,             0.50694,             0.54501,             0.45876,             0.22896,             0.03408,            0.013887,            0.035569,            0.003862,            0.003862,            0.003862
                  64,            0.039739,             0.02775,            0.024914,              0.4959,             0.56203,             0.47178,             0.23482,            0.033012,            0.013562,            0.029446,            0.003763,            0.003763,            0.003763
                  65,            0.039188,            0.027615,            0.025117,             0.49292,             0.55496,             0.46564,             0.23979,            0.032068,            0.014362,            0.033715,            0.003664,            0.003664,            0.003664
                  66,            0.038328,            0.027282,            0.023846,             0.51918,             0.48027,             0.47282,             0.24247,            0.032223,            0.013785,            0.031536,            0.003565,            0.003565,            0.003565
                  67,              0.0386,            0.027754,            0.023434,             0.57921,              0.5026,             0.49378,             0.25138,            0.032474,            0.013516,             0.03467,            0.003466,            0.003466,            0.003466
                  68,            0.038224,            0.027591,            0.023935,             0.48453,             0.54665,             0.47431,             0.23872,            0.033355,            0.013761,            0.031398,            0.003367,            0.003367,            0.003367
                  69,            0.038122,            0.026429,            0.023711,             0.51273,             0.53372,             0.49785,             0.25115,            0.033234,            0.013932,            0.032003,            0.003268,            0.003268,            0.003268
                  70,            0.038367,            0.027561,            0.022621,             0.48615,             0.54399,             0.46912,             0.25146,            0.031994,            0.013944,            0.027072,            0.003169,            0.003169,            0.003169
                  71,            0.037945,             0.02727,            0.023047,             0.51505,             0.52854,             0.47643,             0.24442,             0.03212,            0.013592,            0.027837,             0.00307,             0.00307,             0.00307
                  72,            0.037869,             0.02775,            0.021862,             0.48947,             0.55781,              0.4678,             0.23504,            0.032799,            0.013939,            0.035688,            0.002971,            0.002971,            0.002971
                  73,             0.03836,            0.026986,            0.022289,              0.5489,             0.51733,             0.48848,             0.25446,            0.032599,            0.013717,            0.026941,            0.002872,            0.002872,            0.002872
